"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ACC","EQ","25-Sep-2020","       1303.65","       1306.00","       1339.75","       1295.85","       1336.20","       1333.35","       1316.55","     753140","           991545584.15","      24517","     101588","         13.49"
"ACC","EQ","28-Sep-2020","       1333.35","       1348.00","       1380.75","       1341.00","       1375.50","       1375.40","       1362.30","     743574","          1012974164.55","      34736","      76633","         10.31"
"ACC","EQ","29-Sep-2020","       1375.40","       1380.40","       1398.60","       1358.30","       1378.40","       1379.15","       1378.09","    1172447","          1615736120.70","      27850","     474518","         40.47"
"ACC","EQ","30-Sep-2020","       1379.15","       1385.10","       1402.00","       1372.90","       1398.50","       1393.45","       1388.84","     608847","           845592646.25","      21603","     117856","         19.36"
"ACC","EQ","01-Oct-2020","       1393.45","       1410.00","       1423.00","       1396.00","       1415.35","       1415.10","       1409.15","     850859","          1198991732.50","      25011","     344483","         40.49"
"ACC","EQ","05-Oct-2020","       1415.10","       1420.00","       1429.50","       1402.00","       1420.00","       1419.75","       1415.75","     842753","          1193128888.20","      23240","     279395","         33.15"
"ACC","EQ","06-Oct-2020","       1419.75","       1423.20","       1448.50","       1416.25","       1448.00","       1437.70","       1428.68","     764167","          1091751962.90","      32680","     213110","         27.89"
"ACC","EQ","07-Oct-2020","       1437.70","       1440.40","       1503.85","       1432.15","       1479.50","       1481.75","       1474.55","    2432772","          3587234718.75","      88079","     382385","         15.72"
"ACC","EQ","08-Oct-2020","       1481.75","       1482.20","       1523.65","       1468.45","       1519.95","       1517.90","       1495.52","    1599084","          2391456070.30","      53346","     450298","         28.16"
"ACC","EQ","09-Oct-2020","       1517.90","       1511.60","       1531.50","       1502.00","       1503.10","       1507.20","       1515.37","    1015633","          1539060143.40","      31018","     231989","         22.84"
"ACC","EQ","12-Oct-2020","       1507.20","       1501.10","       1529.80","       1473.10","       1517.25","       1516.95","       1501.54","    1468639","          2205226215.65","      46207","     232753","         15.85"
"ACC","EQ","13-Oct-2020","       1516.95","       1515.00","       1565.90","       1508.00","       1523.00","       1521.85","       1542.86","    2377141","          3667592852.00","      65303","     506743","         21.32"
"ACC","EQ","14-Oct-2020","       1521.85","       1521.80","       1555.65","       1507.20","       1551.50","       1549.50","       1531.35","    1387898","          2125352907.00","      39326","     149142","         10.75"
"ACC","EQ","15-Oct-2020","       1549.50","       1551.00","       1562.40","       1512.50","       1518.50","       1522.40","       1537.34","     801821","          1232667684.90","      25175","      88066","         10.98"
"ACC","EQ","16-Oct-2020","       1522.40","       1520.00","       1566.00","       1512.40","       1562.50","       1561.15","       1540.24","    1364130","          2101084435.40","      39936","     147018","         10.78"
"ACC","EQ","19-Oct-2020","       1561.15","       1569.00","       1575.00","       1538.20","       1567.50","       1562.65","       1553.87","    1643909","          2554419022.25","      45898","     372967","         22.69"
"ACC","EQ","20-Oct-2020","       1562.65","       1582.10","       1622.10","       1562.00","       1577.50","       1579.55","       1586.92","    6433390","         10209306720.60","     183007","     414349","          6.44"
